idx,station_name,station_id,camera_name,camera_ipaddr,nvr_rtsp_url,port,guid,channel,id,pw,type,use,nvr_ipaddr,broadcast_area,broadcast_id,cctv_id
155,노포,101,전기실-1,7.101.3.236,rtsp://admin:asdQWE12!@@7.101.3.22:4515/335c929b-8a94-4ce9-ba9b-654da8e9d0ac/3/media.smp,4515,335c929b-8a94-4ce9-ba9b-654da8e9d0ac,3,admin,asdQWE12!@,,,7.101.3.22,,,
157,노포,101,전기실-2,7.101.3.237,rtsp://admin:asdQWE12!@@7.101.3.22:4515/4e1df737-5957-4b02-96f0-9d3c366978c5/3/media.smp,4515,4e1df737-5957-4b02-96f0-9d3c366978c5,3,admin,asdQWE12!@,,,7.101.3.22,,,
159,노포,101,통신기기실,7.101.3.238,rtsp://admin:asdQWE12!@@7.101.3.22:4515/c662139c-74ea-4860-976a-7e32c05fd066/3/media.smp,4515,c662139c-74ea-4860-976a-7e32c05fd066,3,admin,asdQWE12!@,,,7.101.3.22,,,
161,노포,101,신호기기실,7.101.3.239,rtsp://admin:asdQWE12!@@7.101.3.22:4515/df3acd91-1f38-4408-b8ac-c8456a748f1f/3/media.smp,4515,df3acd91-1f38-4408-b8ac-c8456a748f1f,3,admin,asdQWE12!@,,,7.101.3.22,,,
163,노포,101,이용객쉼터,7.101.3.161,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,WR,1,CCTV101-016
165,노포,101,본선 비상안내-1,7.101.3.81,rtsp://admin:asdQWE12!@@7.101.3.22:4515/b18c95fa-4eae-4eac-9738-a7ac181fc7ce/3/media.smp,4515,b18c95fa-4eae-4eac-9738-a7ac181fc7ce,3,admin,asdQWE12!@,,,7.101.3.22,,,
167,노포,101,본선 비상안내-2,7.101.3.82,rtsp://admin:asdQWE12!@@7.101.3.22:4515/0e6d6ce1-b6c3-4823-bb42-d78041a56cee/3/media.smp,4515,0e6d6ce1-b6c3-4823-bb42-d78041a56cee,3,admin,asdQWE12!@,,,7.101.3.22,,,
169,노포,101,본선 비상안내-3,7.101.3.83,rtsp://admin:asdQWE12!@@7.101.3.22:4515/e85237d6-ccd6-4b09-a1db-eaf32a537b6e/3/media.smp,4515,e85237d6-ccd6-4b09-a1db-eaf32a537b6e,3,admin,asdQWE12!@,,,7.101.3.22,,,
171,노포,101,본선 비상안내-4,7.101.3.84,rtsp://admin:asdQWE12!@@7.101.3.22:4515/b5e5c880-006e-4407-a6e1-d351a60dfdcc/3/media.smp,4515,b5e5c880-006e-4407-a6e1-d351a60dfdcc,3,admin,asdQWE12!@,,,7.101.3.22,,,
173,노포,101,본선 비상안내-5,7.101.3.85,rtsp://admin:asdQWE12!@@7.101.3.22:4515/bcd5d5de-bc02-4038-9c9e-ace68fd74adf/3/media.smp,4515,bcd5d5de-bc02-4038-9c9e-ace68fd74adf,3,admin,asdQWE12!@,,,7.101.3.22,,,
175,노포,101,E/L-3 대합,7.101.3.201,,4515,,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,,,CCTV101-017
177,노포,101,E/L-3 승강장,7.101.3.202,,4515,,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,,,CCTV101-018
179,노포,101,E/L-4 대합,7.101.3.203,,4515,,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,,,CCTV101-019
181,노포,101,E/L-4 승강장,7.101.3.204,,4515,,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,,,CCTV101-020
183,노포,101,E/S-1 대합,7.101.3.171,,4515,,3,admin,asdQWE12!@,"WC,ST,DR","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,"WR,WR,WR","1,4,5",CCTV101-021
185,노포,101,E/S-1 승강장,7.101.3.172,,4515,,3,admin,asdQWE12!@,"WC,ST,DR","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,"WR,WR,WR","1,4,5",CCTV101-022
187,노포,101,E/S-2 대합,7.101.3.173,,4515,,3,admin,asdQWE12!@,"WC,ST,DR","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,"WR,WR,WR","1,4,5",CCTV101-023
189,노포,101,E/S-2 승강장,7.101.3.174,,4515,,3,admin,asdQWE12!@,"WC,ST,DR","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.101.3.22,"WR,WR,WR","1,4,5",CCTV101-024
191,노포,101,선로전환기-1,7.101.3.71,rtsp://admin:asdQWE12!@@7.101.3.22:4515/9b273881-d140-4c70-8b62-90afb7ca43ac/3/media.smp,4515,9b273881-d140-4c70-8b62-90afb7ca43ac,3,admin,asdQWE12!@,,,7.101.3.22,,,
193,노포,101,선로전환기-2,7.101.3.72,rtsp://admin:asdQWE12!@@7.101.3.22:4515/924c7f28-a3df-4956-8def-73469a83a4bd/3/media.smp,4515,924c7f28-a3df-4956-8def-73469a83a4bd,3,admin,asdQWE12!@,,,7.101.3.22,,,
195,노포,101,선로전환기-3,7.101.3.73,rtsp://admin:asdQWE12!@@7.101.3.22:4515/c5164143-9b77-4f0e-9919-680d0641212a/3/media.smp,4515,c5164143-9b77-4f0e-9919-680d0641212a,3,admin,asdQWE12!@,,,7.101.3.22,,,
197,노포,101,선로전환기-4,7.101.3.74,rtsp://admin:asdQWE12!@@7.101.3.22:4515/6b7acf79-0628-4e52-85e2-7a0418358a72/3/media.smp,4515,6b7acf79-0628-4e52-85e2-7a0418358a72,3,admin,asdQWE12!@,,,7.101.3.22,,,
199,노포,101,선로전환기-5,7.101.3.75,rtsp://admin:asdQWE12!@@7.101.3.22:4515/7b2809f1-3f5b-4ea8-8f08-3a84a3d9f042/3/media.smp,4515,7b2809f1-3f5b-4ea8-8f08-3a84a3d9f042,3,admin,asdQWE12!@,,,7.101.3.22,,,
201,노포,101,집수정-1,7.101.3.88,rtsp://admin:asdQWE12!@@7.101.3.22:4515/88b00a7d-7cef-4784-beea-47a40b6daSec/3/media.smp,4515,88b00a7d-7cef-4784-beea-47a40b6daSec,3,admin,asdQWE12!@,,,7.101.3.22,,,
203,노포,101,집수정-2,7.101.3.89,rtsp://admin:asdQWE12!@@7.101.3.22:4515/52b4d932-fe75-4f83-9ae6-fb776c93db81/3/media.smp,4515,52b4d932-fe75-4f83-9ae6-fb776c93db81,3,admin,asdQWE12!@,,,7.101.3.22,,,
205,노포,101,본선환기-1,7.101.3.90,rtsp://admin:asdQWE12!@@7.101.3.22:4515/769f78d9-196b-42d7-bc8c-13a18d633812/3/media.smp,4515,769f78d9-196b-42d7-bc8c-13a18d633812,3,admin,asdQWE12!@,,,7.101.3.22,,,
207,사송,102,PSD-U1-1,7.102.3.241,rtsp://admin:asdQWE12!@@7.102.3.22:4515/b8bb547e-fa8f-4ce5-845a-380d217c69bb/3/media.smp,4515,b8bb547e-fa8f-4ce5-845a-380d217c69bb,3,admin,asdQWE12!@,,,7.102.3.22,,,
209,사송,102,PSD-U1-2,7.102.3.242,rtsp://admin:asdQWE12!@@7.102.3.22:4515/e2f0b20b-a225-4b19-8e1b-2ae95a56afaf/3/media.smp,4515,e2f0b20b-a225-4b19-8e1b-2ae95a56afaf,3,admin,asdQWE12!@,,,7.102.3.22,,,
211,사송,102,PSD-U2-1,7.102.3.243,rtsp://admin:asdQWE12!@@7.102.3.22:4515/6e81e40b-2b5c-4793-a298-0a794bc7b72e/3/media.smp,4515,6e81e40b-2b5c-4793-a298-0a794bc7b72e,3,admin,asdQWE12!@,,,7.102.3.22,,,
213,사송,102,PSD-U2-2,7.102.3.244,rtsp://admin:asdQWE12!@@7.102.3.22:4515/6c9cc839-aa19-4a54-a07c-93672018156b/3/media.smp,4515,6c9cc839-aa19-4a54-a07c-93672018156b,3,admin,asdQWE12!@,,,7.102.3.22,,,
215,사송,102,PSD-D1-1,7.102.3.245,rtsp://admin:asdQWE12!@@7.102.3.22:4515/9b840e94-d307-40da-a864-07ccef53d524/3/media.smp,4515,9b840e94-d307-40da-a864-07ccef53d524,3,admin,asdQWE12!@,,,7.102.3.22,,,
217,사송,102,PSD-D1-2,7.102.3.246,rtsp://admin:asdQWE12!@@7.102.3.22:4515/d45d4e87-3cb2-49a2-88c6-350810462b48/3/media.smp,4515,d45d4e87-3cb2-49a2-88c6-350810462b48,3,admin,asdQWE12!@,,,7.102.3.22,,,
219,사송,102,PSD-D2-1,7.102.3.247,,4515,,3,admin,asdQWE12!@,,,7.102.3.22,,,
221,사송,102,PSD-D2-2,7.102.3.248,rtsp://admin:asdQWE12!@@7.102.3.22:4515/041b2ab4-ed02-48a3-8e0b-9e78b2df1f04/3/media.smp,4515,041b2ab4-ed02-48a3-8e0b-9e78b2df1f04,3,admin,asdQWE12!@,,,7.102.3.22,,,
223,사송,102,P-U1,7.102.3.101,rtsp://admin:asdQWE12!@@7.102.3.22:4515/998ae2fd-008a-42cf-a4d1-e2016f5855cd/3/media.smp,4515,998ae2fd-008a-42cf-a4d1-e2016f5855cd,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,UF,1,CCTV102-001
225,사송,102,P-U2,7.102.3.102,rtsp://admin:asdQWE12!@@7.102.3.22:4515/f3438d75-9fdf-41ec-9f14-9eef2997ced9/3/media.smp,4515,f3438d75-9fdf-41ec-9f14-9eef2997ced9,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,UF,1,CCTV102-002
227,사송,102,P-D1,7.102.3.111,rtsp://admin:asdQWE12!@@7.102.3.22:4515/efb9af10-46e0-4a85-b748-5d67a6e528b1/3/media.smp,4515,efb9af10-46e0-4a85-b748-5d67a6e528b1,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,DP,1,CCTV102-003
229,사송,102,P-D2,7.102.3.112,rtsp://admin:asdQWE12!@@7.102.3.22:4515/1a03946b-23f7-4362-bc76-87101c959ade/3/media.smp,4515,1a03946b-23f7-4362-bc76-87101c959ade,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,DP,1,CCTV102-004
231,사송,102,상선 출입구(하행),7.102.3.131,rtsp://admin:asdQWE12!@@7.102.3.22:4515/c77e556d-e6f8-4e41-a640-177862464068/3/media.smp,4515,c77e556d-e6f8-4e41-a640-177862464068,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,UF,1,CCTV102-005
233,사송,102,하선 출입구(상행),7.102.3.132,rtsp://admin:asdQWE12!@@7.102.3.22:4515/9c4ffdd7-2744-42b2-b69b-28da3ed6ab54/3/media.smp,4515,9c4ffdd7-2744-42b2-b69b-28da3ed6ab54,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,DP,1,CCTV102-006
235,사송,102,출구-1,7.102.3.133,rtsp://admin:asdQWE12!@@7.102.3.22:4515/c4ea5752-520c-4fe4-9435-6ed99d085d62/3/media.smp,4515,c4ea5752-520c-4fe4-9435-6ed99d085d62,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.102.3.22,,6,CCTV102-007
237,사송,102,출구-2,7.102.3.134,rtsp://admin:asdQWE12!@@7.102.3.22:4515/6362f7ce-69c7-4846-a709-a8b279171e81/3/media.smp,4515,6362f7ce-69c7-4846-a709-a8b279171e81,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.102.3.22,,6,CCTV102-008
239,사송,102,G-1,7.102.3.151,rtsp://admin:asdQWE12!@@7.102.3.22:4515/744602a9-6d1f-4e2b-99b7-057bf4b6aefd/3/media.smp,4515,744602a9-6d1f-4e2b-99b7-057bf4b6aefd,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.102.3.22,,6,CCTV102-009
241,사송,102,G-2,7.102.3.152,rtsp://admin:asdQWE12!@@7.102.3.22:4515/30a54c2d-e0f8-43c2-a79a-7ab233569766/3/media.smp,4515,30a54c2d-e0f8-43c2-a79a-7ab233569766,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.102.3.22,,6,CCTV102-010
243,사송,102,비상탈출통로-3,7.102.3.82,rtsp://admin:asdQWE12!@@7.102.3.22:4515/45716862-25e8-4887-8f3f-3084934ff3b5/3/media.smp,4515,45716862-25e8-4887-8f3f-3084934ff3b5,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-011
245,사송,102,비상계단-대합,7.102.3.126,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-012
247,사송,102,비상계단-승강장,7.102.3.127,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-013
249,사송,102,변전실-1,7.102.3.231,rtsp://admin:asdQWE12!@@7.102.3.22:4515/a8d28f40-2c2e-43fb-a890-1e40fca0f410/3/media.smp,4515,a8d28f40-2c2e-43fb-a890-1e40fca0f410,3,admin,asdQWE12!@,,,7.102.3.22,,,
251,사송,102,변전실-2,7.102.3.232,rtsp://admin:asdQWE12!@@7.102.3.22:4515/95f8da0f-f1b7-44c8-9ca8-377af28f2c4a/3/media.smp,4515,95f8da0f-f1b7-44c8-9ca8-377af28f2c4a,3,admin,asdQWE12!@,,,7.102.3.22,,,
253,사송,102,변전실-3,7.102.3.233,rtsp://admin:asdQWE12!@@7.102.3.22:4515/bf90a4d2-fb50-47c8-b0dc-2d10ee698172/3/media.smp,4515,bf90a4d2-fb50-47c8-b0dc-2d10ee698172,3,admin,asdQWE12!@,,,7.102.3.22,,,
255,사송,102,통신기기실,7.102.3.238,rtsp://admin:asdQWE12!@@7.102.3.22:4515/fc7a6e2c-bda0-4510-88a8-d2b730e5151d/3/media.smp,4515,fc7a6e2c-bda0-4510-88a8-d2b730e5151d,3,admin,asdQWE12!@,,,7.102.3.22,,,
257,사송,102,신호기기실,7.102.3.239,rtsp://admin:asdQWE12!@@7.102.3.22:4515/54e61dcc-3abc-4b2f-9d6c-6456bcc6daa4/3/media.smp,4515,54e61dcc-3abc-4b2f-9d6c-6456bcc6daa4,3,admin,asdQWE12!@,,,7.102.3.22,,,
259,사송,102,발매기,7.102.3.161,rtsp://admin:asdQWE12!@@7.102.3.22:4515/4e2f53d1-2c71-4d56-9956-b764a50187cb/3/media.smp,4515,4e2f53d1-2c71-4d56-9956-b764a50187cb,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-014
261,사송,102,발매기실,7.102.3.162,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-015
263,사송,102,화장실,7.102.3.121,rtsp://admin:asdQWE12!@@7.102.3.22:4515/2b78d988-e19c-4657-8dca-8088a4ecc2ff/3/media.smp,4515,2b78d988-e19c-4657-8dca-8088a4ecc2ff,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-016
265,사송,102,수유실,7.102.3.226,rtsp://admin:asdQWE12!@@7.102.3.22:4515/7382c3d2-06ad-4942-9dec-215d132ca0f1/3/media.smp,4515,7382c3d2-06ad-4942-9dec-215d132ca0f1,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-017
267,사송,102,본선 비상안내-6,7.102.3.81,rtsp://admin:asdQWE12!@@7.102.3.22:4515/cf90830a-27b4-48c1-9fa0-8c303393c0f9/3/media.smp,4515,cf90830a-27b4-48c1-9fa0-8c303393c0f9,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.102.3.22,WR,1,CCTV102-018
269,사송,102,본선 비상안내-7,7.102.3.83,rtsp://admin:asdQWE12!@@7.102.3.22:4515/1cb0398a-fb3b-4e73-acc4-aaedb9325f20/3/media.smp,4515,1cb0398a-fb3b-4e73-acc4-aaedb9325f20,3,admin,asdQWE12!@,,,7.102.3.22,,,
271,사송,102,E/L-1 대합,7.102.3.201,rtsp://admin:asdQWE12!@@7.102.3.22:4515/8f05c1cd-8ba3-48d6-8995-c0e372008e32/3/media.smp,4515,8f05c1cd-8ba3-48d6-8995-c0e372008e32,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.102.3.22,,,CCTV102-019
273,사송,102,E/L-1 승강장,7.102.3.202,rtsp://admin:asdQWE12!@@7.102.3.22:4515/17792643-7746-4cc9-bffd-c4475082c5b5/3/media.smp,4515,17792643-7746-4cc9-bffd-c4475082c5b5,3,admin,asdQWE12!@,"WC,ST","엘리베이터 교통약자(휠체어, 유모차) 이용 감시",7.102.3.22,,,CCTV102-020
